code2,名称,总市值
x300176,派生科技,2610272600
x002374,中锐股份,2611089100
x300501,海顺新材,2612482400
x002235,安妮股份,2613871000
x688328,深科达,2615160800
x688228,开普云,2616861500
x300380,安硕信息,2618551100
x300845,捷安高科,2619216200
x000790,华神科技,2619532400
x600051,宁波联合,2620718400
x603655,朗博科技,2621380000
x300461,田中精机,2623379300
x603577,汇金通,2626123600
x603318,派思股份,2630141300
x003008,开普检测,2631200000
x600397,安源煤业,2633293300
x300564,筑博设计,2635000000
x600665,天地源,2635573700
x600980,北矿科技,2635842400
x300488,恒锋工具,2637614200
x600838,上海九百,2637803400
x003025,思进智能,2640007600
x600853,龙建股份,2642891100
x600293,三峡新材,2645130700
x002751,易尚展示,2648997500
x002580,圣阳股份,2650594900
x000509,*ST华塑,2650626300
x300810,中科海讯,2651403000
x300927,江天化学,2651412000
x603608,天创时尚,2654862900
x300923,研奥股份,2656680000
x688466,金科环境,2660456400
x600262,北方股份,2660500000
x300169,天晟新材,2663292100
x002141,贤丰控股,2666442800
x300469,信息发展,2666759900
x000892,欢瑞世纪,2668266900
x300426,唐德影视,2676892400
x601599,鹿港文化,2678174900
x603106,恒银科技,2678676000
x002198,嘉应制药,2679652000
x300610,晨化股份,2681979400
x605398,新炬网络,2685749100
x300635,中达安,2692359500
x603200,上海洗霸,2700571100
x002213,大为股份,2700660000
x003017,大洋生物,2701200000
x605003,众望布艺,2701600000
x003036,泰坦股份,2704320000
x688350,富淼科技,2704401000
x300538,同益股份,2706038800
x603506,南都物业,2713388900
x300612,宣亚国际,2713500000
x600865,百大集团,2716455100
x300885,海昌新材,2718400000
x603679,华体科技,2719136900
x603507,振江股份,2723177500
x002069,獐子岛,2723559700
x600215,*ST经开,2725092700
x002765,蓝黛科技,2726330900
x603665,康隆达,2726509700
x000068,华控赛格,2728079700
x600558,大西洋,2728718700
x003003,天元股份,2730324000
x300375,鹏翎股份,2730713000
x603778,乾景园林,2732142900
x603706,东方环宇,2734686400
x603221,爱丽家居,2736000000
x000753,漳州发展,2736487800
x300490,华自科技,2738473800
x000806,*ST银河,2738780300
x603598,引力传媒,2744117200
x601086,国芳集团,2750580000
x002433,太安堂,2752715800
x300262,巴安水务,2752742400
x603828,柯利达,2753175300
x002427,ST尤夫,2754832100
x002842,翔鹭钨业,2755589000
x300178,腾邦国际,2755792100
x300089,文化长城,2756455900
x600386,北巴传媒,2757888000
x002365,永安药业,2758228200
x605186,健麾信息,2762160000
x002721,金一文化,2764586500
x002909,集泰股份,2766458400
x002012,凯恩股份,2768342800
x603017,中衡设计,2770845400
x603351,威尔药业,2771441400
x300148,天舟文化,2773808600
x002451,摩恩电气,2775744000
x002879,长缆科技,2776887900
x300301,长方集团,2781182900
x000812,陕西金叶,2782667300
x300245,天玑科技,2783502500
x002485,希努尔,2785280000
x605088,冠盛股份,2787200000
x000510,新金路,2790054700
x603028,赛福天,2790912000
x300629,新劲刚,2790989000
x300289,利德曼,2791574700
x300675,建科院,2792534000
x002825,纳尔股份,2794340500
x002147,*ST新光,2796956900
x300179,四方达,2797902100
x002006,精功科技,2803785600
x600152,维科技术,2807132700
x300385,雪浪环境,2808420200
x000635,英 力 特,2809622100
x002796,世嘉科技,2812036200
x300117,嘉寓股份,2816866800
x002172,澳洋健康,2818627300
x002587,奥拓电子,2819489200
x600387,海越能源,2822911100
x300410,正业科技,2826272000
x000838,财信发展,2828187800
x688500,慧辰资讯,2832087100
x600249,两面针,2832500000
x000731,四川美丰,2833210000
x300201,海伦哲,2841715700
x300466,赛摩智能,2843663800
x603214,爱婴室,2845632400
x002823,凯中精密,2847879900
x300733,西菱动力,2848000000
x600084,ST中葡,2854266100
x688058,宝兰德,2854400000
x300622,博士眼镜,2857976300
x002229,鸿博股份,2860496100
x603001,奥康国际,2867007000
x600345,长江通信,2867040000
x300462,华铭智能,2867276300
